absolute_log_scale_ratio,calibration_time_ms,ce95,coverage95,detected_count,estimated_scale,exact_trace_sum,failure_reason,fit_budget,fit_min_depth_m,fit_rms_px,holdout_min_depth_m,holdout_nll,holdout_positive_depth,holdout_rms_px,holdout_scale,jacobian_rank,k16_vs_exact_scale_relative_error,method,pair_id,projection_basis_time_ms,provenance,random_gain_median_relative_error,random_gain_p95_relative_error,random_trace_mae,random_trace_median_relative_error,random_trace_p95_relative_error,random_trace_raw_negative_count,random_trace_raw_upper_count,sequence,solver_nfev,solver_reason,solver_success,start_index,start_timestamp_ns,stationarity_eta,target_timestamp_ns,tracked_count,valid,valid_disparity_count
0.7886559949840354,0.006221,0.033333333333333326,0.9166666666666666,224,0.0013638742509959841,6.000000000000001,,16,0.4067426103256291,0.03693066816341107,0.4154029403114532,-2.5591118091856817,True,0.05478247364991961,0.0030011194192041367,6,0.14948412062912042,Raw,V2_03_difficult:1413394886555760384:1413394886755760384,0.060167,formal_public_module_evidence,0.019042223489258492,0.05817009787765176,0.07704488583991279,0.24497068544178313,1.0490029075326233,0,0,V2_03_difficult,4,OK,True,100,1413394886555760384,3.6107931166703453e-12,1413394886755760384,101,True,113
0.5810166302057909,0.002094,0.033333333333333326,0.9166666666666666,224,0.0016786144627642882,6.000000000000001,,16,0.4067426103256291,0.03693066816341107,0.4154029403114532,-2.76405438932637,True,0.05478247364991961,0.0030011194192041367,6,0.14948412062912042,Global-DoF,V2_03_difficult:1413394886555760384:1413394886755760384,0.060167,formal_public_module_evidence,0.019042223489258492,0.05817009787765176,0.07704488583991279,0.24497068544178313,1.0490029075326233,0,0,V2_03_difficult,4,OK,True,100,1413394886555760384,3.6107931166703453e-12,1413394886755760384,101,True,113
0.511404272138656,0.505885,0.033333333333333326,0.9166666666666666,224,0.0017996299972064763,6.000000000000001,,16,0.4067426103256291,0.03693066816341107,0.4154029403114532,-2.8146657662047248,True,0.05478247364991961,0.0030011194192041367,6,0.14948412062912042,DPR-Exact-Block,V2_03_difficult:1413394886555760384:1413394886755760384,0.060167,formal_public_module_evidence,0.019042223489258492,0.05817009787765176,0.07704488583991279,0.24497068544178313,1.0490029075326233,0,0,V2_03_difficult,4,OK,True,100,1413394886555760384,3.6107931166703453e-12,1413394886755760384,101,True,113
0.3720910211677183,0.235369,0.033333333333333326,0.9166666666666666,224,0.002068646104796673,6.000000000000001,,16,0.4067426103256291,0.03693066816341107,0.4154029403114532,-2.8922188493266368,True,0.05478247364991961,0.0030011194192041367,6,0.14948412062912042,DUC-K16,V2_03_difficult:1413394886555760384:1413394886755760384,0.060167,formal_public_module_evidence,0.019042223489258492,0.05817009787765176,0.07704488583991279,0.24497068544178313,1.0490029075326233,0,0,V2_03_difficult,4,OK,True,100,1413394886555760384,3.6107931166703453e-12,1413394886755760384,101,True,113
0.32953523550054015,0.072532,0.033333333333333326,0.9166666666666666,224,0.002158578975109268,6.000000000000001,,16,0.4067426103256291,0.03693066816341107,0.4154029403114532,-2.910106283206549,True,0.05478247364991961,0.0030011194192041367,6,0.14948412062912042,Permuted-K16,V2_03_difficult:1413394886555760384:1413394886755760384,0.060167,formal_public_module_evidence,0.019042223489258492,0.05817009787765176,0.07704488583991279,0.24497068544178313,1.0490029075326233,0,0,V2_03_difficult,4,OK,True,100,1413394886555760384,3.6107931166703453e-12,1413394886755760384,101,True,113
0.17684281592573883,0.006921,0.008333333333333415,0.9583333333333334,224,0.002187156900682622,5.999999999999998,,48,0.40671344212338456,0.04676704930485375,0.41537483122132207,-3.0938322429535092,True,0.05109058778791342,0.002610248160514488,6,0.05148313103733493,Raw,V2_03_difficult:1413394886555760384:1413394886755760384,0.044299,formal_public_module_evidence,0.008594712457099363,0.029931903893939647,0.043609092426452244,0.5385925649332628,1.3370645841171074,5,0,V2_03_difficult,5,OK,True,100,1413394886555760384,3.2971518376477166e-09,1413394886755760384,101,True,113
0.11230429478816753,0.002067,0.008333333333333415,0.9583333333333334,224,0.00233296736072813,5.999999999999998,,48,0.40671344212338456,0.04676704930485375,0.41537483122132207,-3.103883939820527,True,0.05109058778791342,0.002610248160514488,6,0.05148313103733493,Global-DoF,V2_03_difficult:1413394886555760384:1413394886755760384,0.044299,formal_public_module_evidence,0.008594712457099363,0.029931903893939647,0.043609092426452244,0.5385925649332628,1.3370645841171074,5,0,V2_03_difficult,5,OK,True,100,1413394886555760384,3.2971518376477166e-09,1413394886755760384,101,True,113
0.054776219314176394,1.287446,0.008333333333333415,0.9583333333333334,224,0.002471114042125603,5.999999999999998,,48,0.40671344212338456,0.04676704930485375,0.41537483122132207,-3.1089049266705726,True,0.05109058778791342,0.002610248160514488,6,0.05148313103733493,DPR-Exact-Block,V2_03_difficult:1413394886555760384:1413394886755760384,0.044299,formal_public_module_evidence,0.008594712457099363,0.029931903893939647,0.043609092426452244,0.5385925649332628,1.3370645841171074,5,0,V2_03_difficult,5,OK,True,100,1413394886555760384,3.2971518376477166e-09,1413394886755760384,101,True,113
0.004574546042744753,0.317989,0.008333333333333415,0.9583333333333334,224,0.0025983347301645537,5.999999999999998,,48,0.40671344212338456,0.04676704930485375,0.41537483122132207,-3.110422435892314,True,0.05109058778791342,0.002610248160514488,6,0.05148313103733493,DUC-K16,V2_03_difficult:1413394886555760384:1413394886755760384,0.044299,formal_public_module_evidence,0.008594712457099363,0.029931903893939647,0.043609092426452244,0.5385925649332628,1.3370645841171074,5,0,V2_03_difficult,5,OK,True,100,1413394886555760384,3.2971518376477166e-09,1413394886755760384,101,True,113
0.10723673124342621,0.106435,0.008333333333333415,0.9583333333333334,224,0.002344819827275658,5.999999999999998,,48,0.40671344212338456,0.04676704930485375,0.41537483122132207,-3.104471894367548,True,0.05109058778791342,0.002610248160514488,6,0.05148313103733493,Permuted-K16,V2_03_difficult:1413394886555760384:1413394886755760384,0.044299,formal_public_module_evidence,0.008594712457099363,0.029931903893939647,0.043609092426452244,0.5385925649332628,1.3370645841171074,5,0,V2_03_difficult,5,OK,True,100,1413394886555760384,3.2971518376477166e-09,1413394886755760384,101,True,113
0.167140777473545,0.00678,0.050000000000000044,1.0,242,0.1327599309227292,6.000000000000002,,16,0.5436854047699794,0.3643623621104809,0.7066412426941754,0.6647447478404669,True,0.33515009760162695,0.11232558792238008,6,0.021610380911291305,Raw,V2_03_difficult:1413394887055760384:1413394887255760384,0.039073,formal_public_module_evidence,0.029739360700661965,0.09925981952872354,0.13125453907895462,0.28770611709377614,1.049955331821549,0,0,V2_03_difficult,5,OK,True,110,1413394887055760384,4.506430165380393e-11,1413394887255760384,105,True,123
0.37478014225178974,0.002089,0.050000000000000044,1.0,242,0.16339683805874367,6.000000000000002,,16,0.5436854047699794,0.3643623621104809,0.7066412426941754,0.7137440200164901,True,0.33515009760162695,0.11232558792238008,6,0.021610380911291305,Global-DoF,V2_03_difficult:1413394887055760384:1413394887255760384,0.039073,formal_public_module_evidence,0.029739360700661965,0.09925981952872354,0.13125453907895462,0.28770611709377614,1.049955331821549,0,0,V2_03_difficult,5,OK,True,110,1413394887055760384,4.506430165380393e-11,1413394887255760384,105,True,123
0.36422840249255983,0.454344,0.050000000000000044,1.0,242,0.1616817814741677,6.000000000000002,,16,0.5436854047699794,0.3643623621104809,0.7066412426941754,0.7104843769669987,True,0.33515009760162695,0.11232558792238008,6,0.021610380911291305,DPR-Exact-Block,V2_03_difficult:1413394887055760384:1413394887255760384,0.039073,formal_public_module_evidence,0.029739360700661965,0.09925981952872354,0.13125453907895462,0.28770611709377614,1.049955331821549,0,0,V2_03_difficult,5,OK,True,110,1413394887055760384,4.506430165380393e-11,1413394887255760384,105,True,123
0.34238109773787956,0.178739,0.050000000000000044,1.0,242,0.15818777659009478,6.000000000000002,,16,0.5436854047699794,0.3643623621104809,0.7066412426941754,0.7039821184188747,True,0.33515009760162695,0.11232558792238008,6,0.021610380911291305,DUC-K16,V2_03_difficult:1413394887055760384:1413394887255760384,0.039073,formal_public_module_evidence,0.029739360700661965,0.09925981952872354,0.13125453907895462,0.28770611709377614,1.049955331821549,0,0,V2_03_difficult,5,OK,True,110,1413394887055760384,4.506430165380393e-11,1413394887255760384,105,True,123
0.4177216094282454,0.068705,0.050000000000000044,1.0,242,0.17056616713673434,6.000000000000002,,16,0.5436854047699794,0.3643623621104809,0.7066412426941754,0.7277906216930091,True,0.33515009760162695,0.11232558792238008,6,0.021610380911291305,Permuted-K16,V2_03_difficult:1413394887055760384:1413394887255760384,0.039073,formal_public_module_evidence,0.029739360700661965,0.09925981952872354,0.13125453907895462,0.28770611709377614,1.049955331821549,0,0,V2_03_difficult,5,OK,True,110,1413394887055760384,4.506430165380393e-11,1413394887255760384,105,True,123
