sequence,fit_budget,method,candidate_pairs,valid_pairs,median_ce95,median_absolute_log_scale_ratio,median_holdout_nll,median_estimated_scale,median_coverage95,median_calibration_time_ms,median_random_trace_median_relative_error,median_random_trace_p95_relative_error,median_random_trace_mae,median_random_gain_median_relative_error,median_random_gain_p95_relative_error,median_k16_vs_exact_scale_relative_error,median_projection_basis_time_ms
V1_01_easy,16,Raw,271,265,0.07499999999999996,0.9579583066515457,2.38278262038514,0.10698204702699854,0.875,0.006383,0.24595861551325876,0.7471162675446016,0.09810099601769973,0.025490741394089245,0.07716066858164375,0.04214736415917175,0.03877
V1_01_easy,16,Global-DoF,271,265,0.050000000000000044,0.8384255996876371,2.2385378729361567,0.13167021172553667,0.9166666666666666,0.002046,0.24595861551325876,0.7471162675446016,0.09810099601769973,0.025490741394089245,0.07716066858164375,0.04214736415917175,0.03877
V1_01_easy,16,DPR-Exact-Block,271,265,0.050000000000000044,0.8083175582941535,2.228053104371416,0.13364711348730565,0.9166666666666666,0.482868,0.24595861551325876,0.7471162675446016,0.09810099601769973,0.025490741394089245,0.07716066858164375,0.04214736415917175,0.03877
V1_01_easy,16,DUC-K16,271,265,0.050000000000000044,0.8068950397352618,2.1703297103714068,0.1354559778288569,0.9166666666666666,0.177509,0.24595861551325876,0.7471162675446016,0.09810099601769973,0.025490741394089245,0.07716066858164375,0.04214736415917175,0.03877
V1_01_easy,16,Permuted-K16,271,265,0.050000000000000044,0.8004168806085308,2.2041159991601575,0.13998139763505493,0.9166666666666666,0.069995,0.24595861551325876,0.7471162675446016,0.09810099601769973,0.025490741394089245,0.07716066858164375,0.04214736415917175,0.03877
V1_01_easy,48,Raw,271,265,0.050000000000000044,0.6587623440282162,1.736246890519716,0.24495606260304204,0.9583333333333334,0.006331,0.5020810515548806,1.2123511589956826,0.06097782170135221,0.013375253489117722,0.041319043992530745,0.020152439349496287,0.038989
V1_01_easy,48,Global-DoF,271,265,0.033333333333333326,0.6906450471704806,1.7511443640858066,0.2612864667765782,0.9583333333333334,0.00205,0.5020810515548806,1.2123511589956826,0.06097782170135221,0.013375253489117722,0.041319043992530745,0.020152439349496287,0.038989
V1_01_easy,48,DPR-Exact-Block,271,265,0.050000000000000044,0.7218192339734779,1.7613759742466317,0.2732040273831071,0.9583333333333334,1.290246,0.5020810515548806,1.2123511589956826,0.06097782170135221,0.013375253489117722,0.041319043992530745,0.020152439349496287,0.038989
V1_01_easy,48,DUC-K16,271,265,0.033333333333333326,0.7166569961614591,1.765672852899647,0.2718609277900767,0.9583333333333334,0.314653,0.5020810515548806,1.2123511589956826,0.06097782170135221,0.013375253489117722,0.041319043992530745,0.020152439349496287,0.038989
V1_01_easy,48,Permuted-K16,271,265,0.033333333333333326,0.6801381753071655,1.7728453708044487,0.26417969948906767,0.9583333333333334,0.105834,0.5020810515548806,1.2123511589956826,0.06097782170135221,0.013375253489117722,0.041319043992530745,0.020152439349496287,0.038989
